code,lat,lon,elev_m
2602,39.7893,30.4973,804
2603,39.8801,30.4534,967
2604,39.7733,30.5101,770
2609,39.4463,30.6966,999
2701,37.0255,36.6359,522
2703,37.058,37.35,840
2704,37.0088,37.8022,524
2702,37.1843,36.7328,538
2902,40.1244,39.4366,1416
2901,40.4487,39.4971,1164
3001,37.5744,43.7877,1732
3002,37.5783,44.2863,1884
3103,36.1159,36.2472,269
3105,36.8026,36.5112,459
3104,36.6929,36.4885,260
3118,36.5821,36.1849,10
3116,36.6162,36.2066,33
3120,36.5892,36.2057,102
3119,36.5753,36.1681,5
3112,36.588,36.1477,1
3113,36.5775,36.155,2
3115,36.5463,36.1646,180
3114,36.567,36.1514,6
3117,36.5571,36.1747,193
3121,36.6641,36.2183,5
3108,36.498,36.3661,139
3109,36.5838,36.4144,109
3101,36.2142,36.1597,85
3110,36.0816,35.9498,3
3111,36.3726,36.2197,111
7602,39.9264,44.0538,858
3202,37.7839,30.5654,992
3201,38.1048,30.5576,970
3412,41.0206,28.5782,13
3407,41.0582,29.0095,130
3411,41.0119,28.9761,34
3409,41.0265,28.7588,57
3405,40.9111,29.1567,17
3410,41.1719,29.6082,50
3408,41.0734,28.2557,31
3406,41.0226,29.1588,148
3535,38.7963,26.9632,17
3510,38.409,27.043,3
3531,38.2193,27.6457,93
3514,38.4762,27.1581,197
3537,39.1096,27.1706,52
3530,38.453,27.2244,35
3515,38.4649,27.094,4
3512,38.4009,27.1516,79
3517,38.3756,27.1936,136
3522,38.4357,27.1987,68
3528,38.3039,26.3726,17
3503,39.0739,26.8883,3
3534,38.6624,26.7586,13
3516,38.3706,26.8907,17
3506,38.3944,27.0821,26
3527,38.639,26.5128,60
3519,38.4525,27.1112,10
3508,39.0883,27.3747,71
3518,38.4312,27.1435,7
3525,38.3723,27.1084,106
3520,38.478,27.2111,184
3521,38.4679,27.0764,1
3533,38.2572,27.1302,127
3526,38.5782,26.9795,6
3513,38.4584,27.1671,2
3509,38.2157,27.9645,112
3511,38.4213,27.2563,76
3536,38.1968,26.8384,34
3529,37.9443,27.3675,15
3532,38.1591,27.3596,39
3523,38.3282,26.7706,76
3524,38.4969,27.1073,64
4613,37.5646,36.3576,962
4611,37.7472,37.2843,1097
4610,38.2037,37.1977,1133
4612,38.024,36.4819,1340
4609,37.5753,36.9151,572
4601,37.5387,36.9819,549
4606,37.3868,37.138,581
4615,37.3868,37.138,581
4607,37.4851,37.2978,771
4614,37.4804,37.2898,745
4608,37.3755,36.8384,499
4616,37.3755,36.8384,499
7801,41.2138,32.6525,302
7002,36.6401,32.8919,1285
7001,37.1717,33.2258,1060
3603,40.8459,43.3286,1691
3602,40.144,43.121,843
3605,40.6028,43.0821,1763
3604,40.3313,42.5899,2098
3702,41.4164,33.7969,755
3701,41.0132,34.0367,873
3802,38.4781,36.5036,1595
7901,36.7088,37.1123,640
7102,39.6682,33.6113,1171
7101,39.8497,33.518,754
3901,41.7377,27.2151,218
4001,39.1595,34.1615,754
4103,40.7858,30.025,126
4102,40.7846,30.0265,126
4104,40.6804,29.97,109
4105,40.6744,29.9694,177
4116,40.7196,29.8658,3
4114,40.869,29.4078,207
4119,40.7729,29.5206,73
4106,40.7863,29.45,198
4112,40.7245,29.84,10
4124,40.7831,29.6063,65
4123,40.7152,29.8479,5
4110,41.0691,30.1525,37
4111,40.6844,29.5888,30
4117,40.6989,30.0267,100
4118,40.7216,30.0781,57
4113,40.7768,29.7335,33
4115,40.7433,29.7802,7
4122,40.7483,30.0263,17
4121,40.7228,29.9699,39
4108,40.7602,29.9329,22
4107,40.7602,29.9324,12
4120,40.7676,30.0274,12
4125,40.7665,29.9172,77
4126,40.7625,29.9149,4
4127,40.7609,29.9047,3
4205,38.3384,31.4167,1020
4203,38.6549,32.9166,952
4201,38.1415,31.6852,1210
4202,37.9042,32.5158,1013
4204,38.8206,31.7258,1144
4308,39.1964,29.6197,1022
4306,39.3361,29.2491,853
4304,38.9948,29.4004,735
4301,39.4278,29.9916,932
4307,39.4053,30.0143,952
4305,39.0928,28.9785,828
4406,38.3439,37.9738,1050
4407,38.7807,38.2641,1165
4408,38.0962,37.8873,1215
4405,38.8107,37.9396,1147
4401,38.3489,38.335,998
4404,38.1959,38.8739,1255
4502,38.9112,27.8233,94
4503,38.3555,28.5143,200
4504,39.035,28.6481,853
4505,38.9398,28.2836,670
4501,38.6126,27.3814,106
4506,38.4831,28.1235,111
4508,38.7322,27.5574,38
4507,38.5075,27.7061,88
4701,37.3263,40.7237,930
4702,37.4171,41.3574,933
3302,36.1613,33.5758,17
3307,36.0819,32.8422,44
3303,37.1659,34.6004,1225
3301,36.781,34.6028,4
3306,36.6417,33.4396,317
3304,36.3823,33.9366,10
3305,36.9214,34.899,15
4809,37.033,27.44,25
4813,37.0647,27.4428,368
4812,36.7123,27.688,25
4803,36.6264,29.124,3
4811,36.9697,28.6868,17
4810,36.8394,28.2448,19
4801,37.2145,28.3561,638
4806,37.3025,27.7805,52
4807,37.3397,28.1369,684
4808,37.1392,28.2873,661
4903,39.0928,42.2731,1481
4904,38.7356,41.7742,1300
4906,39.1439,42.5308,1519
4901,38.7611,41.5039,1303
4905,39.1764,41.4455,1494
5001,38.6605,34.7332,1140
5101,37.832,34.9869,1496
5201,40.9751,37.9174,4
8003,37.0842,36.2694,122
8001,37.0842,36.2694,122
5402,40.6703,30.6225,52
5401,40.7362,30.3808,46
5502,40.9094,35.9025,916
5501,41.3268,36.305,10
5503,41.1377,35.4664,335
6304,37.3651,38.5132,617
6301,37.1681,38.8014,548
6303,37.7524,39.3291,800
6302,37.2342,39.7509,550
5601,37.912,41.931,890
7301,37.523,42.4534,1363
5805,39.273,36.747,1454
5804,39.1848,36.0807,1200
5807,38.7245,37.2896,1350
5806,40.3003,37.8252,856
5803,39.7438,37.0018,1285
5801,40.1693,38.1063,966
5802,39.8928,37.7479,1349
5907,41.1607,27.7918,172
5906,40.9734,27.9316,64
5905,40.9821,27.5479,64
5902,40.9793,27.515,42
5904,40.6149,27.1226,10
6005,40.698,36.5692,198
6001,40.3292,36.5552,590
6006,40.5984,36.9346,330
6004,40.3944,37.3291,485
